,predictGap,pos,timeFrag,traffic1_1,traffic1_2,traffic1_3,traffic1_4,traffic2_1,traffic2_2,traffic2_3,traffic2_4,traffic3_1,traffic3_2,traffic3_3,traffic3_4,w1_weatherLevel,w1_temperature,w1_pm2.5,w2_weatherLevel,w2_temperature,w2_pm2.5,w3_weatherLevel,w3_temperature,w3_pm2.5,requestNum1,requestNum2,requestNum3,responseNum1,responseNum2,responseNum3,gap1,gap2,gap3,meanPrice1,meanPrice2,meanPrice3,totalPrice1,totalPrice2,totalPrice3,facility19#3,facility20,facility19,facility20#8,facility11#8,facility13#4,facility24#1,facility11#4,date2week,isHoliday,time_fragment,isRushHour,transOrders1,transOrders2,transOrders3,isWeek,isWeatherDecrease,sameZoneRate,before3DestOrders
185,3,21,2016-01-01-106,730,128,61,25,796,138,45,37,733,142,43,38,2,10.0,154,2,11.0,154,2,11.0,154,109,89,110,106,89,105,3,0,5,13.3275229358,12.406741573,11.8927272727,1452.7,1104.2,1308.2,4482,7968,14193,14940,14110,17098,52290,23821,5,1,103,1,60,49,70,1,0,0.912719298246,268
186,0,21,2016-01-01-118,740,139,39,41,757,129,60,39,774,108,42,37,2,9.0,153,2,9.0,153,2,9.0,153,71,71,58,70,71,58,1,0,0,10.0549295775,14.0309859155,10.8448275862,713.9,996.2,629.0,4482,7968,14193,14940,14110,17098,52290,23821,5,1,115,0,31,47,37,1,0,0.888487040386,215
187,1,21,2016-01-01-130,735,113,40,33,747,115,63,31,746,140,34,33,2,8.0,133,2,8.0,133,3,8.0,133,80,92,83,76,87,80,4,5,3,13.0875,12.3804347826,12.8686746988,1047.0,1139.0,1068.1,4482,7968,14193,14940,14110,17098,52290,23821,5,1,127,1,42,54,48,1,0,0.861826697892,226
188,3,21,2016-01-01-142,698,59,30,19,724,95,31,38,687,90,40,28,2,8.0,126,2,8.0,126,2,8.0,126,26,22,37,26,22,36,0,0,1,13.6538461538,17.5,13.7837837838,355.0,385.0,510.0,4482,7968,14193,14940,14110,17098,52290,23821,5,1,139,0,14,15,22,1,0,0.80655226209,76
189,8,22,2016-01-01-46,617,78,32,24,561,82,19,17,571,83,17,10,1,2.0,181,1,2.0,181,1,2.0,181,13,18,9,11,10,7,2,8,2,12.3076923077,8.5,13.0,160.0,153.0,117.0,6059,4482,21663,11537,9545,5976,5478,4316,5,1,43,1,9,6,5,1,0,0.816901408451,33
190,10,22,2016-01-01-58,733,178,49,21,772,178,64,24,771,171,35,26,8,3.0,178,8,3.0,178,8,3.0,178,28,29,25,23,18,20,5,11,5,13.8785714286,12.5517241379,14.36,388.6,364.0,359.0,6059,4482,21663,11537,9545,5976,5478,4316,5,1,55,1,22,17,17,1,0,0.869494290375,56
191,27,22,2016-01-01-70,740,154,42,28,707,146,42,16,739,163,41,27,2,7.0,205,2,6.0,205,2,6.0,205,52,49,60,40,28,36,12,21,24,11.8846153846,18.2653061224,12.3166666667,618.0,895.0,739.0,6059,4482,21663,11537,9545,5976,5478,4316,5,1,67,0,44,43,49,1,0,0.884572697003,40
192,22,22,2016-01-01-82,799,148,54,24,760,181,39,22,737,200,53,20,2,10.0,232,2,10.0,232,2,10.0,232,72,65,42,49,43,24,23,22,18,11.6291666667,12.5307692308,14.2285714286,837.3,814.5,597.6,6059,4482,21663,11537,9545,5976,5478,4316,5,1,79,0,54,46,29,1,0,0.865825688073,89
193,16,22,2016-01-01-94,723,157,39,18,783,148,73,13,683,146,48,31,2,12.0,189,2,12.0,189,9,12.0,189,42,33,49,32,30,29,10,3,20,19.7857142857,13.6060606061,15.7755102041,831.0,449.0,773.0,6059,4482,21663,11537,9545,5976,5478,4316,5,1,91,0,35,26,43,1,0,0.88152173913,72
194,28,22,2016-01-01-106,800,228,58,33,756,237,78,33,720,216,62,30,2,10.0,154,2,11.0,154,2,11.0,154,79,51,80,52,36,57,27,15,23,12.3037974684,13.7254901961,12.01,972.0,700.0,960.8,6059,4482,21663,11537,9545,5976,5478,4316,5,1,103,1,64,44,56,1,0,0.857244825125,125
195,15,22,2016-01-01-118,767,193,64,26,744,192,73,24,783,219,63,25,2,9.0,153,2,9.0,153,2,9.0,153,45,54,50,31,37,35,14,17,15,10.8111111111,12.537037037,11.96,486.5,677.0,598.0,6059,4482,21663,11537,9545,5976,5478,4316,5,1,115,0,37,40,35,1,0,0.88782358581,78
196,13,22,2016-01-01-130,744,167,37,23,744,185,51,19,749,199,57,14,2,8.0,133,2,8.0,133,3,8.0,133,49,44,50,23,31,38,26,13,12,11.2530612245,21.6545454545,23.3,551.4,952.8,1165.0,6059,4482,21663,11537,9545,5976,5478,4316,5,1,127,1,37,35,41,1,0,0.840163934426,75
197,6,22,2016-01-01-142,746,133,33,18,750,147,29,21,762,155,34,19,2,8.0,126,2,8.0,126,2,8.0,126,33,29,32,21,15,20,12,14,12,18.2727272727,18.0689655172,15.3125,603.0,524.0,490.0,6059,4482,21663,11537,9545,5976,5478,4316,5,1,139,0,27,16,27,1,0,0.853994490358,42
198,198,23,2016-01-01-46,2822,382,149,131,2782,347,128,87,2662,360,135,107,1,2.0,181,1,2.0,181,1,2.0,181,314,346,292,93,87,78,221,259,214,17.0834394904,19.1803468208,18.4,5364.2,6636.4,5372.8,89142,78020,142428,113129,71380,72957,257881,91300,5,1,43,1,267,298,247,1,0,0.700460829493,151
199,105,23,2016-01-01-58,2879,664,192,122,2812,688,174,141,2913,665,161,122,8,3.0,178,8,3.0,178,8,3.0,178,245,259,206,196,220,173,49,39,33,18.253877551,17.9733590734,16.3519417476,4472.2,4655.1,3368.5,89142,78020,142428,113129,71380,72957,257881,91300,5,1,55,1,198,202,162,1,0,0.789734075448,395
200,210,23,2016-01-01-70,2647,712,269,197,2600,765,274,173,2615,725,283,162,2,7.0,205,2,6.0,205,2,6.0,205,416,420,375,185,201,198,231,219,177,12.8540865385,16.7826190476,16.0152,5347.3,7048.7,6005.7,89142,78020,142428,113129,71380,72957,257881,91300,5,1,67,0,312,306,267,1,0,0.790328035171,404
201,213,23,2016-01-01-82,2754,754,271,193,2800,760,281,182,2783,715,288,188,2,10.0,232,2,10.0,232,2,10.0,232,431,420,402,215,204,204,216,216,198,14.137587007,13.6328571429,11.8278606965,6093.3,5725.8,4754.8,89142,78020,142428,113129,71380,72957,257881,91300,5,1,79,0,309,319,305,1,0,0.79369149891,439
202,16,23,2016-01-01-94,2710,748,240,193,2716,776,263,212,2829,670,284,175,2,12.0,189,2,12.0,189,9,12.0,189,393,377,454,213,186,228,180,191,226,14.8236641221,14.5371352785,15.6105726872,5825.7,5480.5,7087.2,89142,78020,142428,113129,71380,72957,257881,91300,5,1,91,0,291,280,351,1,0,0.76604911676,502
203,64,23,2016-01-01-106,2679,928,270,213,2765,949,287,214,2649,924,338,224,2,10.0,154,2,11.0,154,2,11.0,154,432,426,415,343,366,361,89,60,54,16.8979166667,16.0211267606,16.2354216867,7299.9,6825.0,6737.7,89142,78020,142428,113129,71380,72957,257881,91300,5,1,103,1,325,317,308,1,0,0.775671785029,820
204,6,23,2016-01-01-118,2795,908,324,218,2796,909,324,245,2760,929,295,213,2,9.0,153,2,9.0,153,2,9.0,153,260,321,304,255,309,291,5,12,13,14.1746153846,13.9280373832,15.8259868421,3685.4,4470.9,4811.1,89142,78020,142428,113129,71380,72957,257881,91300,5,1,115,0,177,204,222,1,0,0.793238756414,705
205,9,23,2016-01-01-130,2841,853,241,210,2838,841,265,216,2867,874,286,193,2,8.0,133,2,8.0,133,3,8.0,133,278,266,269,266,259,261,12,7,8,15.8845323741,16.4248120301,15.3583643123,4415.9,4369.0,4131.4,89142,78020,142428,113129,71380,72957,257881,91300,5,1,127,1,201,191,201,1,0,0.777987787147,736
206,12,23,2016-01-01-142,2957,563,172,155,2909,580,159,161,2933,620,203,158,2,8.0,126,2,8.0,126,2,8.0,126,167,160,145,155,149,139,12,11,6,23.9580838323,18.34375,20.2206896552,4001.0,2935.0,2932.0,89142,78020,142428,113129,71380,72957,257881,91300,5,1,139,0,113,115,107,1,0,0.77015008338,395
207,85,24,2016-01-01-46,795,140,64,45,875,142,48,50,854,163,48,49,1,2.0,181,1,2.0,181,1,2.0,181,113,125,145,46,41,27,67,84,118,21.8628318584,28.736,29.0634482759,2470.5,3592.0,4214.2,12284,17845,40338,41832,25149,9960,51792,24485,5,1,43,1,93,117,141,1,0,0.741071428571,27
208,128,24,2016-01-01-58,1038,249,108,61,1020,227,77,48,1060,277,74,39,8,3.0,178,8,3.0,178,8,3.0,178,210,218,127,52,69,67,158,149,60,20.5657142857,26.2711009174,15.7811023622,4318.8,5727.1,2004.2,12284,17845,40338,41832,25149,9960,51792,24485,5,1,55,1,176,195,118,1,0,0.800244598451,79
209,121,24,2016-01-01-70,906,248,118,61,954,290,95,65,968,265,106,66,2,7.0,205,2,6.0,205,2,6.0,205,174,166,157,57,53,44,117,113,113,12.5747126437,13.4879518072,13.2101910828,2188.0,2239.0,2074.0,12284,17845,40338,41832,25149,9960,51792,24485,5,1,67,0,145,146,137,1,0,0.805998481397,82
210,98,24,2016-01-01-82,1035,302,82,50,954,231,97,76,956,241,96,49,2,10.0,232,2,10.0,232,2,10.0,232,166,184,163,42,71,46,124,113,117,9.8686746988,10.7336956522,11.6699386503,1638.2,1975.0,1902.2,12284,17845,40338,41832,25149,9960,51792,24485,5,1,79,0,126,142,137,1,0,0.80688088283,111
211,2,24,2016-01-01-94,995,298,111,54,979,261,95,61,1025,270,109,71,2,12.0,189,2,12.0,189,9,12.0,189,142,146,165,84,64,83,58,82,82,16.5584507042,16.4397260274,16.1824242424,2351.3,2400.2,2670.1,12284,17845,40338,41832,25149,9960,51792,24485,5,1,91,0,105,110,120,1,0,0.802398081535,155
212,3,24,2016-01-01-106,985,385,139,81,969,372,173,87,1030,350,139,60,2,10.0,154,2,11.0,154,2,11.0,154,98,84,99,96,81,98,2,3,1,19.6265306122,22.4666666667,18.0636363636,1923.4,1887.2,1788.3,12284,17845,40338,41832,25149,9960,51792,24485,5,1,103,1,67,63,70,1,0,0.810511089682,270
213,4,24,2016-01-01-118,1027,377,108,57,1010,336,109,82,1063,349,127,59,2,9.0,153,2,9.0,153,2,9.0,153,99,81,84,95,79,83,4,2,1,17.6252525253,17.9654320988,16.3404761905,1744.9,1455.2,1372.6,12284,17845,40338,41832,25149,9960,51792,24485,5,1,115,0,64,56,52,1,0,0.829018338727,243
214,4,24,2016-01-01-130,1114,317,101,50,1075,289,104,57,1070,345,108,57,2,8.0,133,2,8.0,133,3,8.0,133,108,93,86,100,91,84,8,2,2,19.5648148148,18.7150537634,18.9779069767,2113.0,1740.5,1632.1,12284,17845,40338,41832,25149,9960,51792,24485,5,1,127,1,69,63,58,1,0,0.849542334096,290
215,2,24,2016-01-01-142,1058,202,81,49,1129,237,46,56,1045,246,69,72,2,8.0,126,2,8.0,126,2,8.0,126,38,46,40,38,45,38,0,1,2,22.0,19.7826086957,24.275,836.0,910.0,971.0,12284,17845,40338,41832,25149,9960,51792,24485,5,1,139,0,24,34,30,1,0,0.837606837607,110
216,1,25,2016-01-01-46,618,76,37,17,485,80,41,13,515,53,30,14,1,2.0,181,1,2.0,181,1,2.0,181,13,16,8,12,16,7,1,0,1,19.0,23.5625,27.875,247.0,377.0,223.0,6972,11288,21580,31706,10209,5976,7138,9794,5,1,43,1,10,10,6,1,0,0.860465116279,19
217,4,25,2016-01-01-58,798,177,61,33,831,150,53,37,859,133,45,42,8,3.0,178,8,3.0,178,8,3.0,178,32,32,38,28,30,37,4,2,1,22.59375,29.46875,18.5263157895,723.0,943.0,704.0,6972,11288,21580,31706,10209,5976,7138,9794,5,1,55,1,21,25,27,1,0,0.906069364162,62
218,16,25,2016-01-01-70,782,156,60,19,821,137,43,27,801,186,70,41,2,7.0,205,2,6.0,205,2,6.0,205,62,45,31,34,34,23,28,11,8,26.6774193548,21.1111111111,19.7096774194,1654.0,950.0,611.0,6972,11288,21580,31706,10209,5976,7138,9794,5,1,67,0,39,33,14,1,0,0.863636363636,61
219,7,25,2016-01-01-82,733,168,92,49,774,158,91,51,770,181,60,30,2,10.0,232,2,10.0,232,2,10.0,232,40,44,58,34,25,37,6,19,21,24.45,34.6363636364,19.0862068966,978.0,1524.0,1107.0,6972,11288,21580,31706,10209,5976,7138,9794,5,1,79,0,25,29,34,1,0,0.882214369847,77
220,2,25,2016-01-01-94,732,192,84,48,741,185,69,33,660,200,92,37,2,12.0,189,2,12.0,189,9,12.0,189,36,38,37,34,34,34,2,4,3,22.0555555556,16.0526315789,13.8918918919,794.0,610.0,514.0,6972,11288,21580,31706,10209,5976,7138,9794,5,1,91,0,18,20,21,1,0,0.876390605686,77
221,1,25,2016-01-01-106,851,245,64,43,773,254,84,25,799,238,90,42,2,10.0,154,2,11.0,154,2,11.0,154,45,47,61,44,47,60,1,0,1,13.6222222222,16.8085106383,15.3442622951,613.0,790.0,936.0,6972,11288,21580,31706,10209,5976,7138,9794,5,1,103,1,20,22,33,1,0,0.871183206107,139
222,1,25,2016-01-01-118,759,224,80,41,773,212,69,30,860,223,70,35,2,9.0,153,2,9.0,153,2,9.0,153,30,38,29,30,37,28,0,1,1,14.6,12.1578947368,16.2413793103,438.0,462.0,471.0,6972,11288,21580,31706,10209,5976,7138,9794,5,1,115,0,10,20,17,1,0,0.883183568678,102
223,6,25,2016-01-01-130,852,154,48,27,860,168,58,32,899,154,56,35,2,8.0,133,2,8.0,133,3,8.0,133,23,29,42,22,27,40,1,2,2,13.8695652174,20.4827586207,18.6904761905,319.0,594.0,785.0,6972,11288,21580,31706,10209,5976,7138,9794,5,1,127,1,18,19,18,1,0,0.837386018237,86
224,0,25,2016-01-01-142,796,85,29,13,815,116,27,15,828,131,47,21,2,8.0,126,2,8.0,126,2,8.0,126,30,31,11,27,29,10,3,2,1,27.8666666667,18.8387096774,25.0909090909,836.0,584.0,276.0,6972,11288,21580,31706,10209,5976,7138,9794,5,1,139,0,17,18,5,1,0,0.880174291939,51
225,50,26,2016-01-01-46,301,38,9,6,276,34,10,7,277,37,12,7,1,2.0,181,1,2.0,181,1,2.0,181,56,46,32,6,16,13,50,30,19,31.0071428571,33.6239130435,31.46875,1736.4,1546.7,1007.0,2739,1328,14442,1660,5063,1411,2407,3569,5,1,43,1,56,46,31,1,0,0.757731958763,21
226,31,26,2016-01-01-58,384,73,24,6,400,50,12,4,398,60,23,5,8,3.0,178,8,3.0,178,8,3.0,178,53,57,37,31,31,27,22,26,10,19.9094339623,29.8596491228,16.3432432432,1055.2,1702.0,604.7,2739,1328,14442,1660,5063,1411,2407,3569,5,1,55,1,52,51,29,1,0,0.826388888889,72
227,63,26,2016-01-01-70,311,69,22,20,315,71,15,17,319,85,22,10,2,7.0,205,2,6.0,205,2,6.0,205,59,70,98,21,21,11,38,49,87,14.7203389831,11.5842857143,11.3071428571,868.5,810.9,1108.1,2739,1328,14442,1660,5063,1411,2407,3569,5,1,67,0,59,65,90,1,0,0.88982161595,38
228,39,26,2016-01-01-82,284,41,15,8,300,57,14,11,320,68,25,15,2,10.0,232,2,10.0,232,2,10.0,232,70,81,74,22,18,18,48,63,56,10.4014285714,12.7617283951,12.2121621622,728.1,1033.7,903.7,2739,1328,14442,1660,5063,1411,2407,3569,5,1,79,0,68,78,73,1,0,0.868587491216,56
229,9,26,2016-01-01-94,335,69,12,12,336,61,23,8,275,75,24,8,2,12.0,189,2,12.0,189,9,12.0,189,62,77,52,20,17,18,42,60,34,15.7677419355,15.4142857143,23.8096153846,977.6,1186.9,1238.1,2739,1328,14442,1660,5063,1411,2407,3569,5,1,91,0,62,69,51,1,0,0.852121212121,75
230,5,26,2016-01-01-106,343,79,25,14,321,56,21,13,352,65,20,22,2,10.0,154,2,11.0,154,2,11.0,154,45,22,35,41,22,33,4,0,2,21.3933333333,17.4681818182,24.9142857143,962.7,384.3,872.0,2739,1328,14442,1660,5063,1411,2407,3569,5,1,103,1,39,19,34,1,0,0.851944792974,87
231,1,26,2016-01-01-118,348,91,25,6,415,111,15,5,375,79,23,8,2,9.0,153,2,9.0,153,2,9.0,153,22,27,52,22,27,42,0,0,10,22.5636363636,19.3481481481,26.6076923077,496.4,522.4,1383.6,2739,1328,14442,1660,5063,1411,2407,3569,5,1,115,0,21,24,49,1,0,0.913322632424,72
232,1,26,2016-01-01-130,369,74,30,7,348,88,18,13,333,74,22,8,2,8.0,133,2,8.0,133,3,8.0,133,13,19,18,13,19,18,0,0,0,34.5076923077,20.5421052632,19.1722222222,448.6,390.3,345.1,2739,1328,14442,1660,5063,1411,2407,3569,5,1,127,1,11,16,17,1,0,0.912466843501,119
233,0,26,2016-01-01-142,298,61,16,15,333,82,19,17,345,68,19,22,2,8.0,126,2,8.0,126,2,8.0,126,6,5,7,5,3,4,1,2,3,27.3333333333,20.4,26.5714285714,164.0,102.0,186.0,2739,1328,14442,1660,5063,1411,2407,3569,5,1,139,0,6,4,7,1,0,0.879310344828,35
234,9,27,2016-01-01-46,1119,164,42,31,1118,141,34,23,960,104,38,39,1,2.0,181,1,2.0,181,1,2.0,181,23,29,17,15,17,12,8,12,5,17.0,9.41379310345,14.7058823529,391.0,273.0,250.0,23655,32951,48472,61171,23655,16102,14027,22493,5,1,43,1,18,18,13,1,0,0.893457943925,30
235,20,27,2016-01-01-58,1406,228,37,32,1416,272,50,45,1382,253,43,47,8,3.0,178,8,3.0,178,8,3.0,178,43,45,53,33,33,40,10,12,13,8.53488372093,14.8888888889,12.2830188679,367.0,670.0,651.0,23655,32951,48472,61171,23655,16102,14027,22493,5,1,55,1,22,32,30,1,0,0.885563380282,98
236,12,27,2016-01-01-70,1479,294,52,42,1462,268,65,51,1433,285,39,51,2,7.0,205,2,6.0,205,2,6.0,205,57,53,66,38,38,55,19,15,11,11.8421052632,9.75471698113,13.5757575758,675.0,517.0,896.0,23655,32951,48472,61171,23655,16102,14027,22493,5,1,67,0,31,25,34,1,0,0.911740216486,153
237,9,27,2016-01-01-82,1408,305,80,43,1362,325,80,42,1351,320,72,38,2,10.0,232,2,10.0,232,2,10.0,232,85,76,69,70,62,58,15,14,11,11.5764705882,10.4210526316,11.0289855072,984.0,792.0,761.0,23655,32951,48472,61171,23655,16102,14027,22493,5,1,79,0,40,38,44,1,0,0.915900131406,185
238,22,27,2016-01-01-94,1368,291,82,46,1320,285,101,68,1262,288,120,61,2,12.0,189,2,12.0,189,9,12.0,189,87,90,77,68,80,63,19,10,14,14.5517241379,15.0555555556,24.4805194805,1266.0,1355.0,1885.0,23655,32951,48472,61171,23655,16102,14027,22493,5,1,91,0,62,51,42,1,0,0.893713545042,158
239,25,27,2016-01-01-106,1410,409,124,58,1396,423,125,68,1389,433,102,69,2,10.0,154,2,11.0,154,2,11.0,154,129,153,157,105,123,143,24,30,14,12.5891472868,11.0130718954,10.8025477707,1624.0,1685.0,1696.0,23655,32951,48472,61171,23655,16102,14027,22493,5,1,103,1,69,84,83,1,0,0.910071942446,295
240,5,27,2016-01-01-118,1375,373,113,39,1405,407,91,48,1344,382,111,61,2,9.0,153,2,9.0,153,2,9.0,153,84,96,78,73,82,76,11,14,2,10.5238095238,16.21875,11.5641025641,884.0,1557.0,902.0,23655,32951,48472,61171,23655,16102,14027,22493,5,1,115,0,44,40,30,1,0,0.914540059347,216
241,2,27,2016-01-01-130,1417,316,78,53,1429,292,47,51,1471,320,73,41,2,8.0,133,2,8.0,133,3,8.0,133,84,80,79,75,78,73,9,2,6,12.7023809524,11.3375,16.746835443,1067.0,907.0,1323.0,23655,32951,48472,61171,23655,16102,14027,22493,5,1,127,1,45,39,40,1,0,0.898626553303,164
242,6,27,2016-01-01-142,1475,202,41,46,1391,222,42,53,1449,170,48,33,2,8.0,126,2,8.0,126,2,8.0,126,45,45,35,44,45,33,1,0,2,19.3555555556,19.0,20.7142857143,871.0,855.0,725.0,23655,32951,48472,61171,23655,16102,14027,22493,5,1,139,0,23,24,23,1,0,0.893485005171,91
243,4,28,2016-01-01-46,1063,196,54,26,1056,187,54,27,1056,165,55,26,1,2.0,181,1,2.0,181,1,2.0,181,81,93,81,72,81,59,9,12,22,15.2814814815,17.247311828,20.2530864198,1237.8,1604.0,1640.5,10209,12865,29133,30627,24236,15438,57422,31955,5,1,43,1,55,60,55,1,0,0.899709302326,178
244,6,28,2016-01-01-58,1281,361,113,84,1319,379,86,58,1399,359,84,50,8,3.0,178,8,3.0,178,8,3.0,178,139,158,142,137,153,138,2,5,4,17.9194244604,18.4126582278,16.9007042254,2490.8,2909.2,2399.9,10209,12865,29133,30627,24236,15438,57422,31955,5,1,55,1,92,105,91,1,0,0.935251798561,384
245,61,28,2016-01-01-70,1283,290,82,40,1351,275,72,66,1350,285,92,57,2,7.0,205,2,6.0,205,2,6.0,205,164,187,178,135,149,157,29,38,21,17.3713414634,17.1689839572,16.8679775281,2848.9,3210.6,3002.5,10209,12865,29133,30627,24236,15438,57422,31955,5,1,67,0,109,124,119,1,0,0.923746622636,364
246,34,28,2016-01-01-82,1305,349,99,65,1294,319,84,77,1372,329,65,71,2,10.0,232,2,10.0,232,2,10.0,232,226,231,183,159,164,157,67,67,26,15.3216814159,15.6220779221,19.4469945355,3462.7,3608.7,3558.8,10209,12865,29133,30627,24236,15438,57422,31955,5,1,79,0,149,147,134,1,0,0.924121212121,404
247,5,28,2016-01-01-94,1348,367,101,53,1328,352,99,54,1285,355,95,60,2,12.0,189,2,12.0,189,9,12.0,189,188,170,184,154,143,151,34,27,33,16.4856382979,16.5123529412,17.5461956522,3099.3,2807.1,3228.5,10209,12865,29133,30627,24236,15438,57422,31955,5,1,91,0,132,111,125,1,0,0.930595269041,391
248,6,28,2016-01-01-106,1339,450,96,65,1312,402,133,62,1368,403,105,71,2,10.0,154,2,11.0,154,2,11.0,154,194,198,215,188,188,203,6,10,12,14.6180412371,14.0873737374,16.0009302326,2835.9,2789.3,3440.2,10209,12865,29133,30627,24236,15438,57422,31955,5,1,103,1,118,109,144,1,0,0.931158652828,594
249,5,28,2016-01-01-118,1298,443,134,82,1249,436,127,91,1274,433,130,58,2,9.0,153,2,9.0,153,2,9.0,153,137,184,177,130,177,174,7,7,3,16.798540146,15.1375,13.4440677966,2301.4,2785.3,2379.6,10209,12865,29133,30627,24236,15438,57422,31955,5,1,115,0,91,116,105,1,0,0.9394481349,441
250,4,28,2016-01-01-130,1354,373,84,56,1408,362,74,40,1281,406,115,47,2,8.0,133,2,8.0,133,3,8.0,133,207,193,194,203,184,188,4,9,6,14.5990338164,15.3642487047,14.131443299,3022.0,2965.3,2741.5,10209,12865,29133,30627,24236,15438,57422,31955,5,1,127,1,148,130,135,1,0,0.938559322034,392
251,5,28,2016-01-01-142,1314,288,78,50,1273,300,78,43,1261,287,46,47,2,8.0,126,2,8.0,126,2,8.0,126,71,95,91,67,93,89,4,2,2,24.985915493,19.9789473684,16.7252747253,1774.0,1898.0,1522.0,10209,12865,29133,30627,24236,15438,57422,31955,5,1,139,0,47,67,60,1,0,0.933130699088,178
252,5,29,2016-01-01-46,666,113,29,34,610,100,59,23,513,110,37,42,1,2.0,181,1,2.0,181,1,2.0,181,29,25,18,24,15,14,5,10,4,27.2275862069,24.484,23.6,789.6,612.1,424.8,3735,5561,22825,13114,9960,3984,2158,7968,5,1,43,1,29,23,18,1,0,0.65368852459,15
253,15,29,2016-01-01-58,657,181,46,34,687,177,33,39,646,173,62,44,8,3.0,178,8,3.0,178,8,3.0,178,32,36,30,28,34,30,4,2,0,26.115625,25.1527777778,23.01,835.7,905.5,690.3,3735,5561,22825,13114,9960,3984,2158,7968,5,1,55,1,32,36,29,1,0,0.638513513514,16
254,24,29,2016-01-01-70,610,243,86,54,600,251,98,45,670,193,65,61,2,7.0,205,2,6.0,205,2,6.0,205,45,38,56,30,21,28,15,17,28,18.4133333333,20.5210526316,24.7089285714,828.6,779.8,1383.7,3735,5561,22825,13114,9960,3984,2158,7968,5,1,67,0,43,36,51,1,0,0.602329450915,38
255,17,29,2016-01-01-82,602,238,77,45,665,236,56,47,656,255,72,35,2,10.0,232,2,10.0,232,2,10.0,232,40,35,51,18,22,36,22,13,15,19.38,19.6057142857,20.3862745098,775.2,686.2,1039.7,3735,5561,22825,13114,9960,3984,2158,7968,5,1,79,0,38,32,45,1,0,0.634722222222,37
256,0,29,2016-01-01-94,640,254,69,41,575,204,62,39,607,217,81,33,2,12.0,189,2,12.0,189,9,12.0,189,41,33,30,33,30,21,8,3,9,20.4219512195,20.4060606061,21.5633333333,837.3,673.4,646.9,3735,5561,22825,13114,9960,3984,2158,7968,5,1,91,0,38,32,28,1,0,0.546816479401,48
257,0,29,2016-01-01-106,605,283,84,53,627,304,66,48,548,328,84,61,2,10.0,154,2,11.0,154,2,11.0,154,35,27,31,33,26,29,2,1,2,20.5285714286,21.9037037037,21.5322580645,718.5,591.4,667.5,3735,5561,22825,13114,9960,3984,2158,7968,5,1,103,1,34,24,28,1,0,0.578431372549,81
258,1,29,2016-01-01-118,589,226,65,51,677,243,74,49,642,286,95,41,2,9.0,153,2,9.0,153,2,9.0,153,42,22,45,41,19,43,1,3,2,18.0928571429,18.4818181818,23.7222222222,759.9,406.6,1067.5,3735,5561,22825,13114,9960,3984,2158,7968,5,1,115,0,40,20,41,1,0,0.609567901235,66
259,1,29,2016-01-01-130,641,252,51,33,657,217,52,33,606,238,30,30,2,8.0,133,2,8.0,133,3,8.0,133,40,20,29,38,20,28,2,0,1,22.185,21.635,24.8689655172,887.4,432.7,721.2,3735,5561,22825,13114,9960,3984,2158,7968,5,1,127,1,39,19,27,1,0,0.623188405797,76
260,2,29,2016-01-01-142,761,120,29,36,790,172,36,15,726,134,70,24,2,8.0,126,2,8.0,126,2,8.0,126,9,20,11,9,19,9,0,1,2,26.0,22.75,26.8181818182,234.0,455.0,295.0,3735,5561,22825,13114,9960,3984,2158,7968,5,1,139,0,9,18,10,1,0,0.603053435115,39
261,0,30,2016-01-01-46,92,23,10,4,108,16,7,1,120,4,6,1,1,2.0,181,1,2.0,181,1,2.0,181,3,4,0,2,2,0,1,2,0,32.6666666667,30.25,0.0,98.0,121.0,0.0,2241,1162,10790,6640,3818,1079,664,2158,5,1,43,1,3,4,0,1,0,0.884615384615,2
262,2,30,2016-01-01-58,146,26,11,1,181,29,13,8,149,25,9,13,8,3.0,178,8,3.0,178,8,3.0,178,2,2,2,2,2,1,0,0,1,33.5,35.0,18.0,67.0,70.0,36.0,2241,1162,10790,6640,3818,1079,664,2158,5,1,55,1,2,2,1,1,0,0.643835616438,5
263,2,30,2016-01-01-70,159,32,15,8,154,29,12,15,220,39,12,13,2,7.0,205,2,6.0,205,2,6.0,205,4,7,8,4,2,4,0,5,4,24.25,22.0,27.625,97.0,154.0,221.0,2241,1162,10790,6640,3818,1079,664,2158,5,1,67,0,3,6,5,1,0,0.698795180723,6
264,0,30,2016-01-01-82,195,28,9,6,129,37,15,6,161,27,19,3,2,10.0,232,2,10.0,232,2,10.0,232,1,2,5,1,2,4,0,0,1,34.0,11.0,26.6,34.0,22.0,133.0,2241,1162,10790,6640,3818,1079,664,2158,5,1,79,0,1,1,4,1,0,0.797297297297,8
265,0,30,2016-01-01-94,248,33,5,11,203,39,14,9,236,37,9,10,2,12.0,189,2,12.0,189,9,12.0,189,3,3,3,3,2,3,0,1,0,22.0,63.6666666667,26.3333333333,66.0,191.0,79.0,2241,1162,10790,6640,3818,1079,664,2158,5,1,91,0,3,3,3,1,0,0.776119402985,7
266,0,30,2016-01-01-106,210,35,15,7,233,47,15,10,231,61,14,6,2,10.0,154,2,11.0,154,2,11.0,154,2,5,4,2,5,4,0,0,0,28.0,25.0,20.0,56.0,125.0,80.0,2241,1162,10790,6640,3818,1079,664,2158,5,1,103,1,1,4,3,1,0,0.776315789474,12
